Безопасность,Натуральность,Пищевая ценность,Качество,Наименование,Ссылка,Общий рейтинг
0.0,0.0,0.0,0.0,"""Велком"", ""Русская""",https://roscontrol.com/product/kolbasa-russkaya-velkom/,В чёрном списке
0.0,0.0,0.0,0.0,"Колбаса ""БахрушинЪ"", ""Докторская""",https://roscontrol.com/product/kolbasa-bahrushin-doktorskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Заповедные продукты"", ""Докторская""",https://roscontrol.com/product/kolbasa-zapovednie-produkti-doktorskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Мясной дом Бородина"", ""Докторская""",https://roscontrol.com/product/myasnoy-dom-borodina-doktorskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Малаховский"" ""Любительская""",https://roscontrol.com/product/malahovskiy-lyubitelskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Царицыно"", ""Докторская""",https://roscontrol.com/product/kolbasa-tsaritsino-gost-doktorskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Ремит"", ""Докторская""",https://roscontrol.com/product/kolbasa-remit-doktorskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Ближние горки"", ""Докторская""",https://roscontrol.com/product/kolbasa-blignie-gorki-doktorskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Мортадель"", ""Докторская""",https://roscontrol.com/product/mortadel-doktorskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Заповедные продукты"", ""Любительская ГОСТ""",https://roscontrol.com/product/kolbasa-zapovednie-produkti-lyubitelskaya-gost/,В чёрном списке
0.0,0.0,0.0,0.0,"""Таганский мясокомбинат"", ""Любительская""",https://roscontrol.com/product/kolbasa-taganskiy-myasokombint-lyubitelskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Первый мясокомбинат"" (""2-20""), ""Мясная""",https://roscontrol.com/product/kolbasa-2-20-myasnaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Егорьевская КГФ"", ""Докторская""",https://roscontrol.com/product/kolbasa-egorevskaya-doktorskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Атяшево"", ""Докторская""",https://roscontrol.com/product/kolbasa-atyashevo-doktorskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Атяшево"", ""Докторская Высокий стандарт""",https://roscontrol.com/product/kolbasa-atyashevo-doktorskaya-visokiy-standart/,В чёрном списке
0.0,0.0,0.0,0.0,"""КампоМос"", ""Дикий кабан""",https://roscontrol.com/product/kolbasa-varenaya-kampomos-dikiy-kaban/,В чёрном списке
0.0,0.0,0.0,0.0,"""ТД Рублевский"", ""Докторская""",https://roscontrol.com/product/td-rublevskiy-doktorskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"""Черкизовский МПЗ"", ""Докторская""",https://roscontrol.com/product/cherkizovskiy-mpz-doktorskaya/,В чёрном списке
0.0,0.0,0.0,0.0,"Колбаса вареная ""Докторская"" ГОСТ",https://roscontrol.com/product/kolbasa-varienaia-doktorskaia-gost/,Нет информации о товаре
0.0,0.0,0.0,0.0,"""Русский сорт"", рулет из курицы диетический",https://roscontrol.com/product/russkiy-sort-rulet-iz-kuritsi-dieticheskiy/,Нет информации о товаре
